Key	Type	Desc	English	Swedish
15bit	Text		15-bit	
15bitDither	Text		15-bit (Dither)	
24bit	Text		24-bit	
AcceptEula	Text		I accept the end-user license agreement	
Achievements/CatchStarlightNautilus	Text		Legendary Fossil	
Achievements/CherryBlossomTrees	Text		5 Centimeters Per Second	
Achievements/DefeatAtlanteanWorm	Text		Thalassophobia	
Achievements/DefeatAzeos	Text		From the Skies!	
Achievements/DefeatCoreCommander	Text		Visitor From A Dying World	
Achievements/DefeatCrydra	Text		Howl of the Sea	
Achievements/DefeatDruidra	Text		Song of the Woods	
Achievements/DefeatGhorm	Text		Bugging Out	
Achievements/DefeatGlurch	Text		A Slimey Encounter	
Achievements/DefeatHivemother	Text		Watch Your Step	
Achievements/DefeatIgneous	Text		Burning Through	
Achievements/DefeatIvy	Text		Toxic Personality	
Achievements/DefeatKingSlime	Text		Slippery Shinobi	
Achievements/DefeatMalugaz	Text		You're a Wizard	
Achievements/DefeatMorpha	Text		Slippery When Wet	
Achievements/DefeatOmoroth	Text		From the Depths!	
Achievements/DefeatPyrdra	Text		Roar of the Flames	
Achievements/DefeatRaAkar	Text		Just Deserts	
Achievements/DefeatUrschleim	Text		Cambrian Behemoth	
Achievements/Discover100CookBookRecipes	Text		Certified Chef	
Achievements/EquipRingOfRockAndStone	Text		Rock and Stone!	
Achievements/FeedCattle	Text		A Good Life	
Achievements/FirstPet	Text		Your Very First	
Achievements/GainOver200MovementSpeed	Text		In a Rush	
Achievements/HarvestGoldenIngredient	Text		Farmer Midas	
Achievements/KeyArtCharacter	Text		Impersonator Syndrome	
Achievements/MaxedOutCooking	Text		Cheese it!	
Achievements/MaxedOutCrafting	Text		Crafty Explorer	
Achievements/MaxedOutFishing	Text		Completely Hooked	
Achievements/MaxedOutGardening	Text		Nature Nurturer	
Achievements/MaxedOutMagic	Text		A Wizard Is Never Late	
Achievements/MaxedOutMelee	Text		...Sting like a bee	
Achievements/MaxedOutMining	Text		Diggy Diggy Hole	
Achievements/MaxedOutRange	Text		Robin Hood	
Achievements/MaxedOutRunning	Text		Float like a butterfly...	
Achievements/MaxedOutSummoning	Text	This is from a Final Fantasy X meme, please translate accordingly into the other languages of the game if you can.	Stay Away From The Summoner!	
Achievements/MaxedOutVitality	Text		Health Conscious	
Achievements/ObtainPhantomSpark	Text		The Phantom Spark	
Achievements/ObtainRuneSong	Text		The Rune Song	
Achievements/ObtainSoulSeeker	Text		The Soul Seeker	
Achievements/ObtainTheOracleDeck	Text		The Heart of the Cards	
Achievements/PetColors	Text		I want ’em all!	
Achievements/PetMaxLevel	Text		Pet Prodigy	
Achievements/SitOnCavelingToiletWithACrown	Text		A Throne Fit for a King	
Achievements/StormSong	Text		A Strange Song	
Achievements/TalkToBigLarva	Text		Gossip Group	
AchievementsLockedDescription/CatchStarlightNautilus	Text		Catch a Starlight Nautilus	
AchievementsLockedDescription/DefeatAtlanteanWorm	Text		Defeat an Atlantean Worm	
AchievementsLockedDescription/DefeatAzeos	Text		Defeat Azeos the Sky Titan	
AchievementsLockedDescription/DefeatCoreCommander	Text		Defeat the Core Commander	
AchievementsLockedDescription/DefeatCrydra	Text		Defeat Crydra the Ice Titan	
AchievementsLockedDescription/DefeatDruidra	Text		Defeat Druidra the Wild Titan	
AchievementsLockedDescription/DefeatGhorm	Text		Defeat Ghorm the Devourer	
AchievementsLockedDescription/DefeatGlurch	Text		Defeat Glurch the Abominous Mass	
AchievementsLockedDescription/DefeatHivemother	Text		Defeat the Hive Mother	
AchievementsLockedDescription/DefeatIgneous	Text		Defeat Igneous the Molten Mass	
AchievementsLockedDescription/DefeatIvy	Text		Defeat Ivy the Poisonous Mass	
AchievementsLockedDescription/DefeatKingSlime	Text		Defeat King Slime	
AchievementsLockedDescription/DefeatMalugaz	Text		Defeat Malugaz the Corrupted	
AchievementsLockedDescription/DefeatMorpha	Text		Defeat Morpha the Aquatic Mass	
AchievementsLockedDescription/DefeatOmoroth	Text		Defeat Omoroth the Sea Titan	
AchievementsLockedDescription/DefeatPyrdra	Text		Defeat Pyrdra the Fire Titan	
AchievementsLockedDescription/DefeatRaAkar	Text		Defeat Ra-Akar the Sand Titan	
AchievementsLockedDescription/DefeatUrschleim	Text		Defeat Urschleim	
AchievementsLockedDescription/Discover100CookBookRecipes	Text		Discover 100 recipes in the cook book	
AchievementsLockedDescription/EquipRingOfRockAndStone	Text		Equip the Ring of Rock and Ring of Stone	
AchievementsLockedDescription/FeedCattle	Text		Feed cattle	
AchievementsLockedDescription/FirstPet	Text		Hatch your first pet from an egg	
