Key	Type	Desc	English	Swedish
15bit	Text		15-bit	TODO
15bitDither	Text		15-bit (Dither)	TODO
24bit	Text		24-bit	TODO
AcceptEula	Text		I accept the end-user license agreement	TODO
Achievements/CatchStarlightNautilus	Text		Legendary Fossil	TODO
Achievements/CherryBlossomTrees	Text		5 Centimeters Per Second	TODO
Achievements/DefeatAtlanteanWorm	Text		Thalassophobia	TODO
Achievements/DefeatAzeos	Text		From the Skies!	TODO
Achievements/DefeatCoreCommander	Text		Visitor From A Dying World	TODO
Achievements/DefeatCrydra	Text		Howl of the Sea	TODO
Achievements/DefeatDruidra	Text		Song of the Woods	TODO
Achievements/DefeatGhorm	Text		Bugging Out	TODO
Achievements/DefeatGlurch	Text		A Slimey Encounter	TODO
Achievements/DefeatHivemother	Text		Watch Your Step	TODO
Achievements/DefeatIgneous	Text		Burning Through	TODO
Achievements/DefeatIvy	Text		Toxic Personality	TODO
Achievements/DefeatKingSlime	Text		Slippery Shinobi	TODO
Achievements/DefeatMalugaz	Text		You're a Wizard	TODO
Achievements/DefeatMorpha	Text		Slippery When Wet	TODO
Achievements/DefeatOmoroth	Text		From the Depths!	TODO
Achievements/DefeatPyrdra	Text		Roar of the Flames	TODO
Achievements/DefeatRaAkar	Text		Just Deserts	TODO
Achievements/DefeatUrschleim	Text		Cambrian Behemoth	TODO
Achievements/Discover100CookBookRecipes	Text		Certified Chef	TODO
Achievements/EquipRingOfRockAndStone	Text		Rock and Stone!	TODO
Achievements/FeedCattle	Text		A Good Life	TODO
Achievements/FirstPet	Text		Your Very First	TODO
Achievements/GainOver200MovementSpeed	Text		In a Rush	TODO
Achievements/HarvestGoldenIngredient	Text		Farmer Midas	TODO
Achievements/KeyArtCharacter	Text		Impersonator Syndrome	TODO
Achievements/MaxedOutCooking	Text		Cheese it!	TODO
Achievements/MaxedOutCrafting	Text		Crafty Explorer	TODO
Achievements/MaxedOutFishing	Text		Completely Hooked	TODO
Achievements/MaxedOutGardening	Text		Nature Nurturer	TODO
Achievements/MaxedOutMagic	Text		A Wizard Is Never Late	TODO
Achievements/MaxedOutMelee	Text		...Sting like a bee	TODO
Achievements/MaxedOutMining	Text		Diggy Diggy Hole	TODO
Achievements/MaxedOutRange	Text		Robin Hood	TODO
Achievements/MaxedOutRunning	Text		Float like a butterfly...	TODO
Achievements/MaxedOutSummoning	Text	This is from a Final Fantasy X meme, please translate accordingly into the other languages of the game if you can.	Stay Away From The Summoner!	TODO
Achievements/MaxedOutVitality	Text		Health Conscious	TODO
Achievements/ObtainPhantomSpark	Text		The Phantom Spark	TODO
Achievements/ObtainRuneSong	Text		The Rune Song	TODO
Achievements/ObtainSoulSeeker	Text		The Soul Seeker	TODO
Achievements/ObtainTheOracleDeck	Text		The Heart of the Cards	TODO
Achievements/PetColors	Text		I want ’em all!	TODO
Achievements/PetMaxLevel	Text		Pet Prodigy	TODO
Achievements/SitOnCavelingToiletWithACrown	Text		A Throne Fit for a King	TODO
Achievements/StormSong	Text		A Strange Song	TODO
Achievements/TalkToBigLarva	Text		Gossip Group	TODO
AchievementsLockedDescription/CatchStarlightNautilus	Text		Catch a Starlight Nautilus	TODO
AchievementsLockedDescription/DefeatAtlanteanWorm	Text		Defeat an Atlantean Worm	TODO
AchievementsLockedDescription/DefeatAzeos	Text		Defeat Azeos the Sky Titan	TODO
AchievementsLockedDescription/DefeatCoreCommander	Text		Defeat the Core Commander	TODO
AchievementsLockedDescription/DefeatCrydra	Text		Defeat Crydra the Ice Titan	TODO
AchievementsLockedDescription/DefeatDruidra	Text		Defeat Druidra the Wild Titan	TODO
AchievementsLockedDescription/DefeatGhorm	Text		Defeat Ghorm the Devourer	TODO
AchievementsLockedDescription/DefeatGlurch	Text		Defeat Glurch the Abominous Mass	TODO
AchievementsLockedDescription/DefeatHivemother	Text		Defeat the Hive Mother	TODO
AchievementsLockedDescription/DefeatIgneous	Text		Defeat Igneous the Molten Mass	TODO
AchievementsLockedDescription/DefeatIvy	Text		Defeat Ivy the Poisonous Mass	TODO
AchievementsLockedDescription/DefeatKingSlime	Text		Defeat King Slime	TODO
AchievementsLockedDescription/DefeatMalugaz	Text		Defeat Malugaz the Corrupted	TODO
AchievementsLockedDescription/DefeatMorpha	Text		Defeat Morpha the Aquatic Mass	TODO
AchievementsLockedDescription/DefeatOmoroth	Text		Defeat Omoroth the Sea Titan	TODO
AchievementsLockedDescription/DefeatPyrdra	Text		Defeat Pyrdra the Fire Titan	TODO
AchievementsLockedDescription/DefeatRaAkar	Text		Defeat Ra-Akar the Sand Titan	TODO
AchievementsLockedDescription/DefeatUrschleim	Text		Defeat Urschleim	TODO
AchievementsLockedDescription/Discover100CookBookRecipes	Text		Discover 100 recipes in the cook book	TODO
AchievementsLockedDescription/EquipRingOfRockAndStone	Text		Equip the Ring of Rock and Ring of Stone	TODO
AchievementsLockedDescription/FeedCattle	Text		Feed cattle	TODO
AchievementsLockedDescription/FirstPet	Text		Hatch your first pet from an egg	TODO
AchievementsLockedDescription/GainOver200MovementSpeed	Text		Gain over 200% movement speed	TODO
AchievementsLockedDescription/HarvestGoldenIngredient	Text		Harvest a golden plant	TODO
AchievementsLockedDescription/KeyArtCharacter	Text		Dress like a character from the official illustrations	TODO
AchievementsLockedDescription/MaxedOutCooking	Text		Gain 100 skill points in cooking	TODO
AchievementsLockedDescription/MaxedOutCrafting	Text		Gain 100 skill points in crafting	TODO
AchievementsLockedDescription/MaxedOutFishing	Text		Gain 100 skill points in fishing	TODO
AchievementsLockedDescription/MaxedOutGardening	Text		Gain 100 skill points in gardening	TODO
AchievementsLockedDescription/MaxedOutMagic	Text		Gain 100 skill points in magic	TODO
AchievementsLockedDescription/MaxedOutMelee	Text		Gain 100 skill points in melee	TODO
AchievementsLockedDescription/MaxedOutMining	Text		Gain 100 skill points in mining	TODO
AchievementsLockedDescription/MaxedOutRange	Text		Gain 100 skill points in range	TODO
AchievementsLockedDescription/MaxedOutRunning	Text		Gain 100 skill points in running	TODO
AchievementsLockedDescription/MaxedOutSummoning	Text	This is from a Final Fantasy X meme, please translate accordingly into the other languages of the game if you can.	Gain 100 skill points in summoning	TODO
AchievementsLockedDescription/MaxedOutVitality	Text		Gain 100 skill points in vitality	TODO
AchievementsLockedDescription/ObtainPhantomSpark	Text		Obtain Phantom Spark	TODO
AchievementsLockedDescription/ObtainRuneSong	Text		Obtain Rune Song	TODO
AchievementsLockedDescription/ObtainSoulSeeker	Text		Obtain Soul Seeker	TODO
AchievementsLockedDescription/ObtainTheOracleDeck	Text		Obtain the Oracle Card deck	TODO
AchievementsLockedDescription/PetColors	Text		Store all color variations of one pet type in a chest	TODO
AchievementsLockedDescription/PetMaxLevel	Text		Reach max level on a pet	TODO
AchievementsLockedDescription/PlantCherryTree	Text		Plant 10 Cherry Trees	TODO
AchievementsLockedDescription/SitOnCavelingToiletWithACrown	Text		Sit on a Caveling Toilet while wearing a crown	TODO
AchievementsLockedDescription/StormSong	Text	Please make sure to find a word for 'tempest' that doesn't sound the same like 'storm' in the the title Song of Storms in Zelda Ocarina of Time in the language you want to translate to. For example, in Germany that song is called 'Hymne des Sturms'. In order to not infringe on Nintendos copyright, 'Sturm' has been replaced by 'Unwetter'.	Play the Tune of Tempest	TODO
AchievementsLockedDescription/TalkToBigLarva	Text		Talk to a Big Larva	TODO
AchievementsUnlockedDescription/CatchStarlightNautilus	Text		Caught a Starlight Nautilus	TODO
AchievementsUnlockedDescription/DefeatAtlanteanWorm	Text		Defeated an Atlantean Worm	TODO
AchievementsUnlockedDescription/DefeatAzeos	Text		Defeated Azeos the Sky Titan	TODO
AchievementsUnlockedDescription/DefeatCoreCommander	Text		Defeated the Core Commander	TODO
AchievementsUnlockedDescription/DefeatCrydra	Text		Defeated Crydra the Ice Titan	TODO
AchievementsUnlockedDescription/DefeatDruidra	Text		Defeated Druidra the Wild Titan	TODO
AchievementsUnlockedDescription/DefeatGhorm	Text		Defeated Ghorm the Devourer	TODO
AchievementsUnlockedDescription/DefeatGlurch	Text		Defeated Glurch the Abominous Mass	TODO
AchievementsUnlockedDescription/DefeatHivemother	Text		Defeated The Hive Mother	TODO
AchievementsUnlockedDescription/DefeatIgneous	Text		Defeated Igneous the Molten Mass	TODO
AchievementsUnlockedDescription/DefeatIvy	Text		Defeated Ivy the Poisonous Mass	TODO
AchievementsUnlockedDescription/DefeatKingSlime	Text		Defeated King Slime	TODO
AchievementsUnlockedDescription/DefeatMalugaz	Text		Defeated Malugaz the Corrupted	TODO
AchievementsUnlockedDescription/DefeatMorpha	Text		Defeated Morpha the Aquatic Mass	TODO
AchievementsUnlockedDescription/DefeatOmoroth	Text		Defeated Omoroth the Sea Titan	TODO
AchievementsUnlockedDescription/DefeatPyrdra	Text		Defeated Pyrdra the Fire Titan	TODO
AchievementsUnlockedDescription/DefeatRaAkar	Text		Defeated Ra-Akar the Sand Titan	TODO
AchievementsUnlockedDescription/DefeatUrschleim	Text		Defeated Urschleim	TODO
AchievementsUnlockedDescription/Discover100CookBookRecipes	Text		Discovered 100 recipes in the cook book	TODO
AchievementsUnlockedDescription/EquipRingOfRockAndStone	Text		Equipped the Ring of Rock and Ring of Stone	TODO
AchievementsUnlockedDescription/FeedCattle	Text		Fed cattle	TODO
AchievementsUnlockedDescription/FirstPet	Text		Hatched your first pet from an egg	TODO
AchievementsUnlockedDescription/GainOver200MovementSpeed	Text		Gained over 200% movement speed	TODO
AchievementsUnlockedDescription/HarvestGoldenIngredient	Text		Harvested a golden plant	TODO
AchievementsUnlockedDescription/KeyArtCharacter	Text		Dressed like a character from the official illustrations	TODO
AchievementsUnlockedDescription/MaxedOutCooking	Text		Gained 100 skill points in cooking	TODO
AchievementsUnlockedDescription/MaxedOutCrafting	Text		Gained 100 skill points in crafting	TODO
AchievementsUnlockedDescription/MaxedOutFishing	Text		Gained 100 skill points in fishing	TODO
AchievementsUnlockedDescription/MaxedOutGardening	Text		Gained 100 skill points in gardening	TODO
AchievementsUnlockedDescription/MaxedOutMagic	Text		Gained 100 skill points in magic	TODO
AchievementsUnlockedDescription/MaxedOutMelee	Text		Gained 100 skill points in melee	TODO
AchievementsUnlockedDescription/MaxedOutMining	Text		Gained 100 skill points in mining	TODO
AchievementsUnlockedDescription/MaxedOutRange	Text		Gained 100 skill points in range	TODO
AchievementsUnlockedDescription/MaxedOutRunning	Text		Gained 100 skill points in running	TODO
AchievementsUnlockedDescription/MaxedOutSummoning	Text	This is from a Final Fantasy X meme, please translate accordingly into the other languages of the game if you can.	Gained 100 skill points in summoning	TODO
AchievementsUnlockedDescription/MaxedOutVitality	Text		Gained 100 skill points in vitality	TODO
AchievementsUnlockedDescription/ObtainPhantomSpark	Text		Obtained Phantom Spark	TODO
AchievementsUnlockedDescription/ObtainRuneSong	Text		Obtained Rune Song	TODO
AchievementsUnlockedDescription/ObtainSoulSeeker	Text		Obtained Soul Seeker	TODO
AchievementsUnlockedDescription/ObtainTheOracleDeck	Text		Obtained the Oracle Card deck	TODO
AchievementsUnlockedDescription/PetColors	Text		Stored all color variations of one pet type in a chest	TODO
AchievementsUnlockedDescription/PetMaxLevel	Text		Reached max level on a pet	TODO
AchievementsUnlockedDescription/PlantCherryTree	Text		Planted 10 Cherry Trees	TODO
AchievementsUnlockedDescription/SitOnCavelingToiletWithACrown	Text		Sat on a Caveling Toilet while wearing a crown	TODO
AchievementsUnlockedDescription/StormSong	Text		Played the Tune of Tempest	TODO
AchievementsUnlockedDescription/TalkToBigLarva	Text		Talked to a Big Larva	TODO
Advanced	Text		Advanced	TODO
AvailableInEarlyAccess	Text		Will be available at Early Access launch	TODO
BetaVersion	Text	{0} will be replaced by the version number	{0} Beta Version	TODO
BiomeNames/Crystal	Text		The Shimmering Frontier	TODO
BiomeNames/Desert	Text		The Desert of Beginnings	TODO
BiomeNames/Great Wall	Text		Great Wall	TODO
BiomeNames/Larva	Text		The Clay Caves	TODO
BiomeNames/Nature	Text		Azeos' Wilderness	TODO
BiomeNames/None	Text		Unknown	TODO
BiomeNames/Obsidian	Text		Unknown	TODO
BiomeNames/Passage	Text		The Passage	TODO
BiomeNames/Sea	Text		The Sunken Sea	TODO
BiomeNames/Slime	Text		The Undergrounds	TODO
